Viper_body

Right Surface Points
        x()          y()          z()
        0.016          0.049         -0.048
        0.016          0.048         -0.055
        0.016          0.046         -0.062
        0.016          0.044         -0.069
        0.016          0.042         -0.075
        0.016          0.039         -0.080
        0.016          0.036         -0.085
        0.016          0.032         -0.089
        0.016          0.027         -0.093
        0.016          0.021         -0.096
        0.016          0.015         -0.098
        0.016          0.008         -0.099
        0.016          0.000         -0.100

  Cross Section  23
        0.037          0.000          0.108
        0.037          0.008          0.108
        0.037          0.015          0.106
        0.037          0.021          0.104
        0.037          0.027          0.101
        0.037          0.031          0.097
        0.037          0.035          0.092
        0.037          0.039          0.087
        0.037          0.042          0.081
        0.037          0.044          0.075
        0.037          0.046          0.068
        0.037          0.047          0.060
        0.037          0.049          0.053
        0.037          0.049          0.045
        0.037          0.050          0.036
        0.037          0.050          0.028
        0.037          0.050          0.019
        0.037          0.050          0.011
        0.037          0.050          0.002
        0.037          0.050         -0.007
        0.037          0.050         -0.015
        0.037          0.050         -0.024
        0.037          0.050         -0.032
        0.037          0.049         -0.040
        0.037          0.049         -0.048
        0.037          0.047         -0.055
        0.037          0.046         -0.062
        0.037          0.044         -0.068
        0.037          0.042         -0.075
        0.037          0.039         -0.080
        0.037          0.035         -0.085
        0.037          0.031         -0.089
        0.037          0.027         -0.093
        0.037          0.021         -0.096
        0.037          0.015         -0.098
        0.037          0.008         -0.100
        0.037          0.000         -0.100

  Cross Section  24
        0.056          0.000          0.113
        0.056          0.008          0.113
        0.056          0.015          0.111
        0.056          0.021          0.109
        0.056          0.026          0.106
        0.056          0.031          0.102
        0.056          0.035          0.097
        0.056          0.039          0.091
        0.056          0.041          0.085
        0.056          0.044          0.078
        0.056          0.046          0.071
        0.056          0.047          0.064
        0.056          0.048          0.056
        0.056          0.049          0.047
        0.056          0.049          0.039
        0.056          0.050          0.030
        0.056          0.050          0.021
        0.056          0.050          0.012
        0.056          0.050          0.003
        0.056          0.050         -0.006
        0.056          0.050         -0.014
        0.056          0.050         -0.023
        0.056          0.049         -0.031
        0.056          0.049         -0.039
        0.056          0.048         -0.047
        0.056          0.047         -0.055
        0.056          0.046         -0.062
        0.056          0.044         -0.068
        0.056          0.041         -0.074
        0.056          0.039         -0.080
        0.056          0.035         -0.085
        0.056          0.031         -0.089
        0.056          0.026         -0.093
        0.056          0.021         -0.096
        0.056          0.015         -0.098
        0.056          0.008         -0.100
        0.056          0.000         -0.100

  Cross Section  25
        0.073          0.000          0.119
        0.073          0.008          0.118
        0.073          0.015          0.117
        0.073          0.021          0.114
        0.073          0.026          0.111
        0.073          0.031          0.106
        0.073          0.035          0.101
        0.073          0.038          0.095
        0.073          0.041          0.089
        0.073          0.043          0.082
        0.073          0.045          0.075
        0.073          0.047          0.067
        0.073          0.048          0.058
        0.073          0.049          0.050
        0.073          0.049          0.041
        0.073          0.049          0.032
        0.073          0.049          0.023
        0.073          0.050          0.014
        0.073          0.050          0.005
        0.073          0.050         -0.004
        0.073          0.049         -0.013
        0.073          0.049         -0.022
        0.073          0.049         -0.031
        0.073          0.049         -0.039
        0.073          0.048         -0.047
        0.073          0.047         -0.054
        0.073          0.045         -0.061
        0.073          0.043         -0.068
        0.073          0.041         -0.074
        0.073          0.038         -0.080
        0.073          0.035         -0.085
        0.073          0.031         -0.089
        0.073          0.026         -0.093
        0.073          0.021         -0.096
        0.073          0.015         -0.098
        0.073          0.008         -0.100
        0.073          0.000         -0.100

  Cross Section  26
        0.088          0.000          0.124
        0.088          0.008          0.123
        0.088          0.015          0.122
        0.088          0.021          0.119
        0.088          0.026          0.116
        0.088          0.031          0.111
        0.088          0.035          0.106
        0.088          0.038          0.100
        0.088          0.041          0.093
        0.088          0.043          0.086
        0.088          0.045          0.078
        0.088          0.046          0.070
        0.088          0.047          0.061
        0.088          0.048          0.053
        0.088          0.049          0.043
        0.088          0.049          0.034
        0.088          0.049          0.025
        0.088          0.049          0.015
        0.088          0.049          0.006
        0.088          0.049         -0.003
        0.088          0.049         -0.012
        0.088          0.049         -0.021
        0.088          0.049         -0.030
        0.088          0.048         -0.038
        0.088          0.047         -0.046
